target_fault,target_thread_group_fault,position_fault,mask_fault,type_fault,position,golden_data,mask_golden,faulty_data,mask_faulty,mask,error_relative,error_abs
4,0,0A000,0x1000,sa1,0,4.9453125,0x44f2,5.1640625,0x452a,0x1d8,0.044219970703125,0.21875
4,0,0A000,0x1000,sa1,1,4.76171875,0x44c3,4.921875,0x44ec,0x2f,0.03363037109375,0.16015625
4,0,0A000,0x1000,sa1,2,2.89453125,0x41ca,3.12890625,0x4242,0x388,0.08099365234375,0.234375
4,0,0A000,0x1000,sa1,3,3.734375,0x4378,3.818359375,0x43a3,0xdb,0.022491455078125,0.083984375
