target_fault,target_thread_group_fault,position_fault,mask_fault,type_fault,position,golden_data,mask_golden,faulty_data,mask_faulty,mask,error_relative,error_abs
4,0,0A000,0x1000,sa1,0,5.34375,0x4558,6.55859375,0x468f,0x3d7,0.227294921875,1.21484375
4,0,0A000,0x1000,sa1,1,4.125,0x4420,5.9453125,0x45f2,0x1d2,0.44140625,1.8203125
4,0,0A000,0x1000,sa1,2,4.5078125,0x4482,5.98828125,0x45fd,0x17f,0.328369140625,1.48046875
4,0,0A000,0x1000,sa1,3,4.00390625,0x4401,5.7265625,0x45ba,0x1bb,0.43017578125,1.72265625
4,0,0A000,0x1000,sa1,4,3.92578125,0x43da,5.390625,0x4564,0x6be,0.373046875,1.46484375
4,0,0A000,0x1000,sa1,5,2.90625,0x41d0,2.91796875,0x41d6,0x6,0.004032135009765625,0.01171875
4,0,0A000,0x1000,sa1,6,1.7177734375,0x3edf,2.03125,0x4010,0x7ecf,0.1824951171875,0.3134765625
4,0,0A000,0x1000,sa1,7,2.78125,0x4190,3.1484375,0x424c,0x3dc,0.132080078125,0.3671875
