target_fault,target_thread_group_fault,position_fault,mask_fault,type_fault,position,golden_data,mask_golden,faulty_data,mask_faulty,mask,error_relative,error_abs
4,0,0A000,0x1000,sa1,0,4.5234375,0x4486,4.55078125,0x448d,0xb,0.006046295166015625,0.02734375
4,0,0A000,0x1000,sa1,1,5.1640625,0x452a,5.83984375,0x45d7,0xfd,0.130859375,0.67578125
4,0,0A000,0x1000,sa1,2,3.140625,0x4248,3.59765625,0x4332,0x17a,0.1455078125,0.45703125
4,0,0A000,0x1000,sa1,3,2.025390625,0x400d,2.04296875,0x4016,0x1b,0.0086822509765625,0.017578125
