target_fault,target_thread_group_fault,position_fault,mask_fault,type_fault,position,golden_data,mask_golden,faulty_data,mask_faulty,mask,error_relative,error_abs
4,0,0A000,0x1000,sa1,0,4.2890625,0x444a,5.13671875,0x4523,0x169,0.1976318359375,0.84765625
4,0,0A000,0x1000,sa1,1,3.51953125,0x430a,4.2265625,0x443a,0x730,0.200927734375,0.70703125
4,0,0A000,0x1000,sa1,2,1.9609375,0x3fd8,2.908203125,0x41d1,0x7e09,0.483154296875,0.947265625
4,0,0A000,0x1000,sa1,3,3.66015625,0x4352,4.6953125,0x44b2,0x7e0,0.28271484375,1.03515625
4,0,0A000,0x1000,sa1,4,3.0859375,0x422c,3.384765625,0x42c5,0xe9,0.09686279296875,0.298828125
4,0,0A000,0x1000,sa1,5,3.880859375,0x43c3,4.4140625,0x446a,0x7a9,0.137451171875,0.533203125
4,0,0A000,0x1000,sa1,6,2.64453125,0x414a,2.73828125,0x417a,0x30,0.03546142578125,0.09375
4,0,0A000,0x1000,sa1,7,3.0078125,0x4204,3.30859375,0x429e,0x9a,0.0999755859375,0.30078125
