target_fault,target_thread_group_fault,position_fault,mask_fault,type_fault,position,golden_data,mask_golden,faulty_data,mask_faulty,mask,error_relative,error_abs
4,0,0A000,0x1000,sa1,0,3.07421875,0x4226,3.927734375,0x43db,0x1fd,0.277587890625,0.853515625
4,0,0A000,0x1000,sa1,1,3.046875,0x4218,3.4140625,0x42d4,0xcc,0.1204833984375,0.3671875
4,0,0A000,0x1000,sa1,2,2.3125,0x40a0,2.607421875,0x4137,0x197,0.1275634765625,0.294921875
4,0,0A000,0x1000,sa1,3,2.71484375,0x416e,3.736328125,0x4379,0x217,0.376220703125,1.021484375
